id,question,option_a,option_b,option_c,option_d,correct_answer,question_type,question_level,topic,subject_domain,language
81484fe0-03d9-4248-8747-55bb9a7c53cc,अवरोध के लिए सुश्रुत द्वारा दी गई चिकित्सा किस अध्याय में है,वृद्धिनाम चिकित्सा,उदराणाम चिकित्सा,वृद्धिउपदंशश्लीपद चिकित्सा,ग्रन्थिअपचिअर्बुदगलगंड चिकित्सा,C,MCQ,Hard,Shalya Tantra,Shalya Tantra (Surgery),hi
f0361a19-4f92-423d-9493-88a7783c04b6,इनमें से किस व्याधि में रोहितक चूर्ण उपयोगी है?,ऊर्ध्वग रक्तपित्त,आंग्नेय विसर्प,प्रवाहिका,प्लीहोदर,A,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
fb92eab4-f2ac-438c-bbe8-79eaa6e6158f,"वृद्ध वाग्भट के अनुसार ………प्रकार की रजोदूष्ठि में ""गौरीकार्य त क्षार"" का उपयोग योनिप्रक्षालन के लिए किया जाता है।",वातज,पित्तज,कफज,कुनिपगंधि,B,MCQ,Medium,Dravyaguna,Dravyaguna & Bhaishajya,hi
56908837-e613-4a34-8ac1-58e721adf15c,चरक के अनुसार व्रणस्त्राव कितने होते हैं?,10,12,14,16,B,MCQ,Easy,Shalya Tantra,Shalya Tantra (Surgery),hi
9962cffb-3a55-416b-8253-a6273cfce88f,Khajuradi mantha is useful?,Raktapitta,Kamala,Pandu,Madatyaya,D,MCQ,Medium,Dravyaguna,Dravyaguna & Bhaishajya,hi
8a5f6714-d37c-460c-a8a0-0db212d22954,पिझिचिल किसका पर्यायवाची है...स्वेद?,बाष्प,परिशेक,अवगाह,नाड़ी,B,MCQ,Easy,Panchakarma,Panchakarma & Rasayana,hi
7608d4dc-049a-40f0-9bd5-49d0f1656993,रक्त धातु के उपधातु हैं .....,सिरा और धमानी,सिरा और त्वचा,सिरा और कंडरा,सिरा और स्नायु,D,MCQ,Easy,Saptadhatus,Samhita & Siddhanta (Fundamentals),hi
669f77aa-951a-4659-b6ec-b669712bc620,विटामिन डी3 की कमी की स्थिति में रक्त में स्तर (एनजी/मिलीलीटर में) किस सीमा में होगा?,> 30,21 - 29,10 - 20,<10,C,MCQ,Easy,Modern Medicine,"Administration, AYUSH & Miscellaneous",hi
7cfcddcd-f498-46ef-834c-4ddd5b1ccbda,पित्त प्रकृति में '....आयुषो' दिया गया है,मध्यम,दीर्घ,अल्प,हीन,A,MCQ,Easy,Dravyaguna,Dravyaguna & Bhaishajya,hi
ffbca743-ae63-4dd7-8fcf-477cadc0ebbf,"...निकटस्थ अंग, ओक्यूलर और बल्बर मांसपेशियों की कमजोरी और शीघ्र थकान वाली अवस्था द्वारा चिन्हित अर्जित अवस्थाएं।",मायोटोनिया,मायस्थेनिया ग्रेविस,पार्किंसंसिम,बेल का पाली,B,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
d0761112-add8-450f-b87f-50127dfd6504,मधुरादि गण द्रव्य क्वाथ उपयोगी है……. मूत्रकृच्छ,वातज,पित्तज,रक्तज,कफज,B,MCQ,Medium,Dravyaguna,Dravyaguna & Bhaishajya,hi
dac8e8d0-f3aa-4781-a567-eed6a69a9ea6,शारंगधर संहिता के अनुसार अग्निसिद्ध स्वरस औषधि का चिकित्सीय मात्रा है,½ तोला,1 पल,1 तोला,½ पल,B,MCQ,Medium,Bhaishajyakalpana,Dravyaguna & Bhaishajya,hi
6621866d-57b5-4f1e-8339-ce1305c62249,5 व्यक्तियों का HB% 9.3 10.6 11.9 12.2 । 3 5 माध्य HB% है,11.5,10.5,10.9,11.1,C,MCQ,Easy,Medical Statistics,Research & Statistics,hi
c2fb672f-139a-4675-b8c9-24e20bedc60b,भग का आकार -- है,11 अंगूल,14 अंगूल,12 अंगूल,16 अंगूल,D,MCQ,Easy,Anatomy,Sharir (Anatomy & Physiology),hi
5a8e8223-2064-4296-9526-04251d92d3ad,चरक के अनुसार मूलसीर की संख्या कितनी है?,10,20,30,40,B,MCQ,Easy,Srotas,Samhita & Siddhanta (Fundamentals),hi
085fbea7-25bd-4dfe-bd34-da7bfe3b4bc4,वसंत में आहार का गुण होता है,"लघु, रूक्ष","स्निग्ध, लघु","तीक्ष्ण, उष्ण","मंद, शीत",A,MCQ,Easy,Swasthavritta,Swasthavritta & Public Health,hi
cbdb52bf-95f6-4644-9757-eb785f6ea90a,Bhu -------------------------------महाभूत का पर्यायवाची है,पृथ्वी,तेज,आप,वायु,A,MCQ,Easy,Panchamahabhuta,Samhita & Siddhanta (Fundamentals),hi
a38846e6-0dc5-4820-b8ea-0029378fbd36,1 मिली एंटी स्नेक वेनम कोबरा विष के .............. को निष्क्रिय करता है।,0.6 मिग्रा,0.45 मिग्रा,0.5 मिग्रा,0.4 मिग्रा,C,MCQ,Medium,Visha Vigyan,Agad Tantra & Forensic Medicine,hi
810b5287-eebe-4505-8e32-acc427437304,सुश्रुत के अनुसार अर्का भेद,4,2,3,5,B,MCQ,Easy,Dravyaguna,Dravyaguna & Bhaishajya,hi
3f447b06-1c9b-42e7-b376-3da328f4ef9e,एनाटॉमिकल स्नफ़ बॉक्स में कौन सी धमनी को स्पंदन के लिए छुआ जाता है?,अल्नर,ब्रैकियल,रेडियल,एक्सिलरी,C,MCQ,Easy,Ayurvedic Anatomy,Sharir (Anatomy & Physiology),hi
b47510ed-d591-4fb8-9121-4f82a6a5ba03,"सुश्रुत आचार्य के अनुसार, प्राकृत प्रसव काल ____ मास तक अलग-अलग होता है।",5वें से 6वें,8वें से 9वें,7वें से 8वें,9वें से 12वें,D,MCQ,Medium,Prasutitantra,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),hi
fd042e81-be74-4cf1-a45a-994b13a32b0f,स्मरातपत्र is mentioned by---------,काश्यप,डल्हण,योगरत्नाकर,चरक,A,MCQ,Hard,Ayurvedic Concepts,Samhita & Siddhanta (Fundamentals),hi
d5a36523-d73f-4768-804e-a376ded99a7f,‘रुजकर मर्म’ कौन सा है?,कूर्च,उर्वी,अपांग,मणिबंध,D,MCQ,Medium,Ayurvedic Anatomy,Sharir (Anatomy & Physiology),hi
0c4aa2c9-1f96-4a94-b896-27fe425520c5,भैषज्यरत्नावली में अभयारिष्ट का रोगाधिकार क्या है?,अतिसार,अम्लपित्त,अर्श,स्त्रीरोग,A,MCQ,Medium,Rasashastra,Dravyaguna & Bhaishajya,hi
136f4e93-a9a0-48a7-99a7-9894525f0926,विलेपी बनाने के लिए तंडुल और जल का अनुपात है,1 : 4,1 : 6,1 : 8,1 : 14,C,MCQ,Easy,Panchakarma,Panchakarma & Rasayana,hi
bda0ac8f-7f56-44f6-848c-a749a6a91aec,माइसेटोमा …………. बुरादा का एक उदाहरण है।,सतही,उपत्वचीय,प्रणालीगत,अवसरवादी,B,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
ba64f5e4-953a-4d43-9d38-f9ddfc0e69b2,अर्श आधिष्ठित सम्वर्णी वाली गुदा में होता है,सुखसाध्य,कष्टसाध्य,असाध्य,याप्य,A,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
3392882c-fd65-4a1a-8c26-f3dd5fb9cd72,पंचवल्कल कल्काधरण की सलाह अष्टांग संग्रह के अनुसार -------------- योनिव्यापद में दी जाती है,वातज,पित्तज,कफज,महायोनि,B,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
cf17c598-622d-402f-b15a-f65b3b2685a0,कश्यप ने बताया कि स्फलित मूत्रत्व एक लक्षण है -,बांझपन,ज्वर,मधु मेह,कामला,A,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
86318c5a-c212-4d49-a423-6e6f931587fb,Madyam और Mrudu Sweda को ……..Kaal में देना चाहिए,Ushna,Samsheetoshna,Sheeta,Aadan,B,MCQ,Medium,Panchakarma,Panchakarma & Rasayana,hi
14a9dbb5-6a14-42d9-9681-0c3189427b47,"के अनुसार .......... रक्त एक दोष है,",चरक,सुश्रुत,वाग्भट्ट,चक्रपाणि,B,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
10366d86-cb95-4324-903f-1c002b0b9897,Sarvada sarvabhavanam samanyam-----,Dusti karanam,Roga karanam,Hetu karanam,Vriddhi karanam,B,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
7b8605d0-e009-4c1a-9cf1-d12335e789b2,मूत्रमार्ग की पथरी के संबंध में निम्नलिखित में से कौन सा सत्य नहीं है?,पथरी के आकार के साथ दर्द की तीव्रता बढ़ जाती है,सभी मामलों में निश्चित रूप से हीमेटूरिया देखा जाता है,दर्द सामने के जांघ के हिस्से तक फैल सकता है,दर्द लिंग की नोक तक फैल सकता है,A,MCQ,Medium,Urology,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
2159e837-0ef3-409d-80c1-ef87c9230666,Rasaja Vikara's के लिए सबसे अच्छी चिकित्सा है ----------------,बृंहण,स्तंभन,स्वेदन,लंघन,D,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
fee110e4-3c2e-48b8-b984-7ec17bee7cc8,Asmari is vyadhi -,Ekadoshaja,Samsargaja,Tridoshaja,Agantuja,C,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
6faa4016-42ee-47b7-ba6e-73a7837ae0c6,‘अप्रतिघात’ ...... महाभूत का लक्षण है,आकाश,आप,वायु,तेज,A,MCQ,Easy,Panchamahabhuta,Samhita & Siddhanta (Fundamentals),hi
af9360a3-3e85-467c-8650-ae88c0f36f7c,"अष्टांग हृदय के अनुसार सूची I का सूची II के साथ मिलान कीजिए: (A) मधुर रस का अधिक सेवन (i) शुक्र क्षय, बल क्षय तथा कटि एवं पृष्ठ में व्यथा (B) कटु रस का अधिक सेवन (ii) वात रोग तथा धातु क्षय (C) तिक्त रस का अधिक सेवन (iii) कंडू, पांडु तथा विसर्प (D) अम्ल रस का अधिक सेवन (iv) संयास, गण्डमाला तथा अर्बुद","(A)-(i), (B)-(ii), (C)-(iii), (D)-(iv)","(A)-(iv), (B)-(i), (C)-(i), (D)-(iii)","(A)-(ii), (B)-(i), (C)-(iv), (D)-(ii)","(A)-(iii), (B)-(i), (C)-(ii), (D)-(iv)",B,Match the column,Medium,Samhita & Siddhanta,Samhita & Siddhanta (Fundamentals),hi
2e30745c-2297-4917-9485-167ea76617f1,नाक की सूखापन से हो सकता है,एलर्जिक राइनाइटिस,क्रॉनिक राइनाइटिस,एक्यूट राइनाइटिस,एट्रोफिक राइनाइटिस,D,MCQ,Medium,Netraroga,"Shalakya Tantra (ENT, Eye, Dentistry)",hi
49e2385c-68ae-45bf-bf94-112671aebacd,"मरास्मस के किस ग्रेड में ""बुक्कल फैट की पैड की हानि"" आती है?",1,2,3,4,D,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
263e51ff-b75b-4622-a355-1113b3005722,दशमूलारिष्ट बनाने में प्रयुक्त मधुर द्रव्य कौन सा है?,गुड़,मधु,शर्करा,शर्करा मधु,A,MCQ,Medium,Rasashastra,Dravyaguna & Bhaishajya,hi
d2fbf633-3cf6-45c2-a693-0bfffc82b90f,टाइफाइड बुखार में अल्सर पाए जाते हैं,गले में,त्वचा में,पेयर्स पैचेज में,इनमें से कोई नहीं,C,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
d9fadc09-59ae-463c-bd94-767ef70fa814,नाक से खून बहना (एपिस्टैक्सिस) की तुलना ……… के साथ की जा सकती है।,अदोगरक्तपित्त,विसर्प,ऊर्ध्वगरक्तपित्त,त्रियकरक्तपित्त,C,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
abe04164-4b76-474f-8de0-7c038e371863,वृक्क की उत्पत्ति……से होती है।,रक्त और मेद प्रसाद,रक्त और मांस प्रसाद,रक्त और कफ प्रसाद,मेद और मज्जा,A,MCQ,Medium,Ayurvedic Anatomy,Sharir (Anatomy & Physiology),hi
432e683f-b766-4da0-9506-f7325e1f42ef,"आमतौर पर दांत दिखाई देते हैं, यदि दांत आयु के ------- महीने में निकलते हैं",4,6,7,8,A,MCQ,Easy,Kaumarbhritya,Kaumarbhritya & Pediatrics,hi
9b67ccdc-3dd9-47b1-b454-336f9849eedb,"सुश्रुत संहिता के अनुसार गुल्म के आश्रयस्थान संख्या में ------------------- हैं,",2,5,6,7,C,MCQ,Easy,Samhita & Basic Principles,Samhita & Siddhanta (Fundamentals),hi
1ecd0dc8-e7bb-4f35-9dc9-fc845e33d79c,"----------------अज्ञात जीवविज्ञान वाला एक बहुसिस्टम विकार है, जिसकी विशेषता पहले सामान्य रक्तचाप वाली और गैर-प्रोटीन्यूरिक महिला में 20वें सप्ताह के बाद 140/90 मिमी एचजी या उससे अधिक के स्तर तक उच्च रक्तचाप और प्रोटीन्यूरिया का विकास होता है।",पीलिया,प्रीक्लेम्पसिया,एपीएच,पीपीएच,B,MCQ,Easy,Obstetrics,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),hi
c40a43ee-ac6c-4ab1-81f4-20c10e0cdf09,चर्मदल की संख्यासंप्राप्ति ---- है,1,3,4,7,C,MCQ,Medium,Dravyaguna,Dravyaguna & Bhaishajya,hi
28c4d573-9ad0-40c9-bcff-58fd5bbd0b98,पारद के प्रथम संस्कार के लिए निम्नलिखित यंत्रों में से किसका उपयोग किया जाता है?,वलुका यंत्र,वलाभि यंत्र,डोलायंत्र,पलिका यंत्र,A,MCQ,Medium,Rasashastra,Dravyaguna & Bhaishajya,hi
bb774d5f-6275-4d06-93bf-09525b6028d0,वात प्रकृति में अपचित् लक्षण …..गुण के कारण होते हैं,लघु,चल,रूक्ष,शीत,C,MCQ,Easy,Ayurvedic Pharmacology,Dravyaguna & Bhaishajya,hi
098512c3-6d37-44c8-97a8-500d8fe47f49,चरक संहिता के --------स्थान में शुद्ध शुक्र का उल्लेख है,शरीर,सूत्र,निदान,विमान,B,MCQ,Medium,Striroga,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),hi
c243a331-4177-4700-81d1-ab366dcb7330,निम्नलिखित में से कौन दीर्घकालिक अस्थमा का एक सामान्य लक्षण है?,सायनोसिस,खसखसाहट,एडिमा,हाइपोक्सीमिया,B,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
2bca5059-5b4e-4a35-ade2-ba6b13a434f7,शीर्ष और निम्न वेना कावा से ऑक्सीजन युक्त रक्त किसमें प्रवेश करता है?,दायां अलिंद,बायां अलिंद,दायां निलय,बायां निलय,A,MCQ,Easy,Physiology,Sharir (Anatomy & Physiology),hi
ce809373-da28-4d73-8e66-e99b558ad2fa,मैकबर्नी की संवेदनशीलता ……… में निदान होती है।,अपेंडिसाइटिस,पित्ताशय शोथ,अग्न्याशयशोथ,गैस्ट्रिटिस,A,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
2b02ccf8-7c0e-41d4-aa46-d52bdef71ade,रक्त का उपधातु …… है।,पित्त,सिरा,त्वचा,वसा,B,MCQ,Easy,Ayurvedic Anatomy,Sharir (Anatomy & Physiology),hi
844afd0e-01ac-4a28-a9d8-8a2c5f253cfb,"स्तन रोग में, योगरत्नाकर में उल्लेख किया गया है -",वंध्यकर्कोटकी मूल,विडंग मूल,उशीर कल्क,लंगली मूल,A,MCQ,Medium,Prasutitantra,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),hi
7f2e160d-0cc9-4940-b7cb-6071a862545d,"सुश्रुत संहिता सूत्रस्थान अष्टविधकर्मीय अध्याय में, -------- को लेख्य उपक्रम के रूप में बताया गया है।",डाकोदर,वर्तमा,अश्मरी,मूढ़-गर्भ,C,Fill in the blanks,Hard,Samhita & Basic Principles,Samhita & Siddhanta (Fundamentals),hi
b8c23776-3327-4915-aa69-f1a1ba97f8f4,वाग्भटाचार्य के अनुसार नियमित रूप से कम मात्रा में आहार (हीनमात्र) लेने से ---------------- दोष का प्रकोप होता है।,त्रिदोष,वात पित्त दोष,पित्त दोष,वात दोष,D,MCQ,Easy,Dravyaguna,Dravyaguna & Bhaishajya,hi
3383e1e1-9e9a-41bb-bb68-3571b9e3e17e,पागलपन के उपचार में उपयोगी औषधि है,देवदारु,सर्पगंधा,पारसीक यवनी,गंधप्रसारिणी,B,MCQ,Medium,Dravyaguna,Dravyaguna & Bhaishajya,hi
ff7085cf-f66b-48e7-824d-afa37df67add,योग: कर्मसु कौशल्यम् किसके द्वारा उद्धृत किया गया है?,भगवद्गीता,पतंजलि,घेरंड,हठयोग,A,MCQ,Easy,Sanskrit,Ayurvedic Literature & History,hi
902de759-e456-474b-af0a-5efecc4196b9,दृष्टि का बादल जैसा स्वरूप ........ व्याधि में देखा जाता है,धूमदर्शी,पित्तविदग्ध,गंभीरिका,कफविदग्ध,A,MCQ,Medium,Netraroga,"Shalakya Tantra (ENT, Eye, Dentistry)",hi
5516caaf-c2c3-45c5-8293-f569f092276c,अतिसंवृत योनि,Paripluta,Vataj,Suchimukhi,Pittaj,C,MCQ,Medium,Striroga,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),hi
e2511cec-7dca-4bfa-8869-e26fdbcaba38,"बहुत कम भोजन लेने के बाद भी अपच, ऐसा इसलिए है क्योंकि ... ... अग्निमांद्य",वातज,कफज,पित्तज,ये सभी,B,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
7ce5174c-3ad5-44c2-83f3-5318d1bb7686,"चरक संहिता में, स्थौल्य प्रतिकार (चिकित्सा) के लिए ----------------------------------------------------------------------------------------------------------------------",तिक्त बस्ति,तीक्ष्ण बस्ति,त्रिवृत बस्ति,तिल्वक बस्ति,B,MCQ,Medium,Samhita & Basic Principles,Samhita & Siddhanta (Fundamentals),hi
d5929534-8468-4117-8f72-b6ad4042a21e,डी एंड सी से पहले गर्भाशय साउंड का प्रयोग किया जाता है,गर्भाशय की स्थिति की पुष्टि करने के लिए,गर्भाशय-उपसर्वाइकल नहर की लंबाई नोट करने के लिए,योनि की लंबाई नोट करने के लिए,A और B दोनों नोट करने के लिए,D,MCQ,Medium,Surgery,Shalya Tantra (Surgery),hi
