ITA_ID,English_Term,Ground_Truth,Predicted,Match
ITA-1.7.5,Question,anuyogaḥ,तन्त्रयुक्तिः (Logic/Method),False
ITA-1.7.6,Questionable statement,anuyojyam,तन्त्रयुक्तिः (Logic/Method),False
ITA-1.7.7,Unquestioning acceptance,abhyanujñā,तन्त्रयुक्तिः (Logic/Method),False
ITA-1.7.8,Implied meaning,arthaprāptiḥ,तन्त्रयुक्तिः (Logic/Method),False
ITA-1.7.9,Varying meaning or shifting the topic,arthāntaram,Varying meaning or shifting the topic,False
ITA-1.7.10,Rejoinder,uttaram,Rejoinder,False
ITA-1.7.11,Application of proof,upanayaḥ,Application of proof,False
ITA-1.7.12,Abusive argument,upālambhaḥ,Abusive argument,False
ITA-1.7.13,Perverted or deceitful argument,chalaḥ,Perverted or deceitful argument,False
ITA-1.7.14,Defensive argument,jalpaḥ,Defensive argument,False
ITA-1.7.15,Inquisitiveness,jijñāsā,Inquisitiveness,False
ITA-1.7.16,Discussion amongst peers,tadvidyasambhāṣā,Discussion amongst peers,False
ITA-1.7.17,"Deduction, conclusion",nigamanam,"Deduction, conclusion",False
ITA-1.7.18,Point of defeat,nigrahasthānam,Point of defeat,False
ITA-1.7.19,Amendment of a faulty statement,parihāraḥ,Amendment of a faulty statement,False
ITA-1.7.20,"Proposition, proposed hypothesis",pratijñā,"Proposition, proposed hypothesis",False
ITA-1.7.21,Abandoning the hypothesis,pratijñāhāniḥ,Abandoning the hypothesis,False
ITA-1.7.22,Proving the alternate hypothesis,pratiṣṭhāpanā,Proving the alternate hypothesis,False
ITA-1.7.23,Counter-question,pratyanuyogaḥ,Counter-question,False
ITA-1.7.24,"Syntax error, defective sentence",vākyadoṣaḥ,"षष्ठी, 2. षष्ठी, 3. षष्ठी, 4. षष्ठी, 5. षष्ठी, 6. षष्ठी, 7. षष्ठी, 8. षष्ठी, 9. षष्ठी, 10. षष्ठी, 11. षष्ठी, 12. षष्ठी, 13. षष्ठी, 14. षष्ठी, 15. षष्ठी",False
ITA-1.7.25,Correct statement,vākyapraśaṃsā,,False
ITA-1.7.26,"Hostile debate, offensive argument",vitaṇḍā,,False
ITA-1.7.27,Decision,vyavasāyaḥ,,False
ITA-1.7.28,Proving the proposed hypothesis,sthāpanā,,False
ITA-1.7.29,Proposing the wrong reason,hetvantaram,,False
ITA-1.7.30,Discussion and debate amongst peers,"tadvidyasaṃbhāṣā,",,False
ITA-1.7.31,Productive debate,sandhāyasaṃbhāṣā,,False
ITA-1.7.32,"Unproductive, hostile debate",vigṛhyasaṃbhāṣā,,False
ITA-1.8.1,"Investigation, examination",parīkṣā,,False
ITA-1.8.2,Knowledge,pramā,,False
ITA-1.8.1.1,"Direct perception, observation",pratyakṣam,,False
ITA-1.8.1.2,Contact,sannikarṣaḥ,,False
ITA-1.8.1.3,Indeterminate perception,nirvikalpakam,,False
ITA-1.8.1.4,Determinate perception,savikalpakam,,False
ITA-1.8.2.1,Inference based on observations,anumānam,Inference based on observations - अनुमानम्,False
ITA-1.8.2.2,Inferential knowledge,anumitiḥ,Inferential knowledge - अनुमानम्,False
ITA-1.8.2.3,Fallacious reason,ahetuḥ,Fallacious reason - मिथ्या हेतु,False
ITA-1.8.2.4,Cause or variable,hetu,Cause or variable - हेतुः,False
ITA-1.8.2.5,"Cause or variable, independent variable",sadhetu,"Cause or variable, independent variable - हेतुवृत्तिः",False
ITA-1.8.2.6,Independent variable,sādhana,Independent variable - हेतुवृत्तिः,False
ITA-1.8.2.7,Dependent variable,sādhya,Dependent variable - परिणामः,False
ITA-1.8.2.8,False positive or false negative,hetvābhāsaḥ,False positive or false negative - सविनिर्देशनम्,False
ITA-1.8.2.9,"Invariable concomitance, sensitivity",avinābhāvasaṃbandhaḥ,"Invariable concomitance, sensitivity - निश्चितता",False
ITA-1.8.2.10,"Non-deviation, specificity",avyabhicāritva,"Non-deviation, specificity - वैधर्म्य",False
ITA-1.8.2.11,Inseparable coexistence,ayutasiddhatvam,Inseparable coexistence - सहज संयोग,False
ITA-1.8.2.12,Chance effect,yadṛcchāsiddhiḥ,Chance effect - आकस्मिकता,False
ITA-1.8.2.13,Real effect,prātiniyamikīsiddhiḥ,Real effect - यथार्थता,False
ITA-1.8.2.14,Conditional effect,aupādhika,Conditional effect - परिणामः,False
ITA-1.8.2.15,Negative correlation,kevalavyatirekianumānam,Negative correlation - विपरीतता,False
ITA-1.8.2.16,Positive correlation,kevalānvayi-anumānam,सकारात्मकं सहसंबंधं,False
ITA-1.8.2.17,Speculative reasoning or debate,tarkaḥ,विनिश्चयः आत्मना,False
ITA-1.8.2.18,Inference for self,svārthānumānam,विनिश्चयः परतः,False
ITA-1.8.2.19,Inference for others,parārthānumānam,विनिश्चयः आत्मना,False
ITA-1.8.2.20,Improper reason appearing identical to the subject,prakaraṇasamaḥ,कारणं आत्मना,False
ITA-1.8.2.21,Inference based on analogy,parāmarśaḥ,कारणं परतः,False
ITA-1.8.2.22,Subject under investigation,pakṣaḥ,कारणं आत्मना,False
ITA-1.8.2.23,Context in which a cause-and-effect relationship is affirmed,sapakṣaḥ,कारणं परतः,False
ITA-1.8.2.24,Context in which a cause-and-effect relationship is negated,vipakṣaḥ,कारणं आत्मना,False
ITA-1.8.2.25,Invariable concomitance,vyāptiḥ,कारणं परतः,False
ITA-1.8.2.26,Negative invariable concomitance,vyatirekavyāptiḥ,कारणं आत्मना,False
ITA-1.8.2.27,Five-stepped syllogism,pañcāvayava-vākyam,कारणं परतः,False
ITA-1.8.2.28,Categorical examples,udāharaṇam,निश्चयः,False
ITA-1.8.2.29,Causative agent,kāraṇam,निश्चयः,False
ITA-1.8.2.30,Inherent cause,samavāyikāraṇam,निश्चयः,False
ITA-1.8.2.31,Non-inherent cause,asamavāyi-kāraṇam,N. non-inherent cause,False
ITA-1.8.2.32,Efficient cause,nimitta-kāraṇam,N. efficient cause,False
ITA-1.8.3.1,"Codified knowledge, expert opinion",āptopadeśaḥ,"N. codified knowledge, expert opinion",False
ITA-1.8.3.2,"Reasoning, understanding causation",yuktiḥ,"N. reasoning, understanding causation",False
ITA-1.8.3.3,Analogy,upamānaḥ,N. analogy,False
ITA-1.8.3.4,"Object of knowledge, the object of investigation",prameyaḥ,N. object denoted by a word,False
ITA-1.8.3.5,Object denoted by a word,padārthaḥ,N. six ontological categories of an object,False
ITA-1.9.1,Six ontological categories of an object,ṣaṭpadārthāḥ,"N. object of knowledge, the object of investigation",False
ITA-1.9.1.1,"Generality, shared feature",sāmānyam,"N. generality, shared feature",False
ITA-1.9.1.2,Similarity at the level of substance,dravya-sāmānyam,N. similarity at the level of substance,False
ITA-1.9.1.3,Similarity at the level of qualities or properties,guṇa-sāmānyam,N. similarity at the level of qualities or properties,False
ITA-1.9.1.4,Similarity at the level of action,karma-sāmānyam,N. similarity at the level of action,False
ITA-1.9.2.1,"Particularity, distinct feature",viśeṣam,"N. particularity, distinct feature",False
ITA-1.9.2.2,Dissimilarity at the level of substance,dravya-viśeṣaḥ,N. dissimilarity at the level of substance,False
ITA-1.9.2.3,Dissimilarity at the level of quality,guṇa-viśeṣaḥ,N. dissimilarity at the level of quality,False
ITA-1.9.2.4,Dissimilarity at the level of action,karma-viśeṣaḥ,Dissimilarity at the level of action,False
ITA-1.9.3.1,"Substance, entity",dravyam,Dravya,True
ITA-1.9.3.1.1,Causal material,kāraṇadravyam,Pancha bhuta,False
ITA-1.9.3.1.2,Five elements,pañcamahābhūta,Akasha,False
ITA-1.9.3.1.3,Space element,ākāśaḥ,Vayu,False
ITA-1.9.3.1.4,Air element,vāyuḥ,Agni,False
ITA-1.9.3.1.5,Fire element,Tejaḥ,Jala,False
ITA-1.9.3.1.6,Water element,jalam,Prithvi,False
ITA-1.9.3.1.7,Earth element,pṛthvī,Atma,False
ITA-1.9.3.1.8,"Rudimentary, undifferentiated element",tanmātrā,Chetana,False
ITA-1.9.3.2.1,Self,ātmā,Atma-samyukta sharira,True
ITA-1.9.3.2.2,Self-embodied being,bhūtātmā,Atma-samyukta jiva,False
ITA-1.9.3.2.3,"Living being, individual self",jīvaḥ,Atma-samyukta purusha,False
ITA-1.9.3.2.4,The knower,jñaḥ,Atma-samyukta purusha-atma,False
ITA-1.9.3.2.5,"The doer, the executing agent",kartā,Atma-samyukta purusha-atma,False
ITA-1.9.3.2.6,Witness of all actions,sākṣī,"Ātmajaṃ, 2. saṃskṛtaṃ, 3. ātma-dṛṣṭaṃ, 4. ātma-viśeṣaṃ, 5. ātma-siddhiḥ, 6. ātmabuddhiḥ, 7. anāgatavidhā, 8. Īśvara, 9. avyakta, 10. kāla, 11. akāla, 12. śāntiḥ, 13. avyakta-vṛttiḥ, 14. avyakta-svabhāvaḥ, 15. avyakta-kriyāḥ",False
ITA-1.9.3.2.7,Relating to self,ādhyātmika,,False
ITA-1.9.3.2.8,"Subtle body, causal body",ativāhika-śarīram/ sūkṣmaśarīram/ liṅgaśarīram,,False
ITA-1.9.3.2.9,"Person, living being",puruṣaḥ,,False
ITA-1.9.3.2.10,Complete self-control,vaśī,,False
ITA-1.9.3.2.11,Person as the object of treatment,"cikitsya-puruṣaḥ, ṣaḍdhātupuruṣa",,False
ITA-1.9.3.2.12,Embodied being composed of 24 elements,caturviṃśati-puruṣaḥ,,False
ITA-1.9.3.2.13,"Invisible, unforeseen",adṛṣṭam,,False
ITA-1.9.3.2.14,Inactive,niṣkriyaḥ,,False
ITA-1.9.3.2.15,Omnipresent,vibhu,,False
ITA-1.9.3.2.16,Without beginning,anādi,,False
ITA-1.9.3.2.17,Consciousness,cetanā/ caitanyam,,False
ITA-1.9.3.2.18,Eternal,nityam,,False
ITA-1.9.3.2.19,Formless,nirvikāram,,False
ITA-1.9.3.2.20,Irresistible will,prākāmyam,,False
ITA-1.9.3.2.21,Immutable,avyayaḥ,अविनाशी (avināśi),False
ITA-1.9.3.2.22,"Observer, witness of all actions",draṣṭā,चेतना (cetanā),False
ITA-1.9.3.2.23,Independent,svatantra,आत्मन् (ātman),False
ITA-1.9.3.2.24,Introverted consciousness,antaścetana,आत्मानं चक्षुषि (ātmanam cakṣuṣi),False
ITA-1.9.3.2.25,"Salvation, liberation",mokṣaḥ,मोक्ष (mokṣa),False
ITA-1.9.3.2.26,Perception of truth,satyabuddhiḥ,प्रत्यक्ष (pratyakṣa),False
ITA-1.9.3.2.27,Liberation in the embodied state,jīvanmuktiḥ,मृत्यु (mṛtyu),False
ITA-1.9.3.2.28,Person showing signs of impending death,puṣpitaḥ,जीवित (jīva),False
ITA-1.9.3.2.29,After death,pretya,पूर्वजन्म (pūrvajanma),False
ITA-1.9.3.3.1,"Mind, psyche","manaḥ, cetaḥ",मनः (manas),False
ITA-1.9.3.3.2,Characteristics of mind,manoguṇaḥ/svarūpam,चित्त (citta),False
ITA-1.9.3.3.3,Atomicity,"aṇutva, paramāṇu",अणु (anu),False
ITA-1.9.3.3.4,Singularity,ekatva,संवेदन (saṃjñā),False
ITA-1.9.3.3.5,Trans-sense migration,indriyāntara-sañcāraḥ,विनाश (vināśa),False
ITA-1.9.3.3.6,"Transient, perishable",anityam,चेतना-विनाश (cetana-vināśa),False
ITA-1.9.3.3.7,Objects of the mind,manoarthaḥ,मनसो वस्तुः,False
ITA-1.9.3.3.8,Decision-making,cintanam,निर्णयः,False
ITA-1.9.3.3.9,Reasoning,vicāraḥ,तर्कः,False
ITA-1.9.3.3.10,Conjecture,ūhaḥ,अनुमानः,False
ITA-1.9.3.3.11,Contemplation,dhyānam,चिन्तनः,False
ITA-1.9.3.3.12,Evaluation,saṅkalpaḥ,विवेकः,False
ITA-1.9.3.3.13,Psychological or mental attributes,mānasika-bhāvaḥ,बुद्धिः,False
ITA-1.9.3.3.14,Intellect,dhīḥ,स्मृतिः,False
ITA-1.9.3.3.15,Ability to control impulses,dhṛtiḥ,लोभः,False
ITA-1.9.3.3.16,"Memory, recollection",smṛtiḥ,क्रोधः,False
ITA-1.9.3.3.17,Six internal enemies,ṣaḍripuḥ,अहंकारः,False
ITA-1.9.3.3.18,"Desire, lust",kāmaḥ,मोहः,False
ITA-1.9.3.3.19,Anger,krodhaḥ,अज्ञानम्ः,False
ITA-1.9.3.3.20,Greed,lobhaḥ,रागः,False
ITA-1.9.3.3.21,Delusion,mohaḥ,द्वेषः,False
ITA-1.9.3.3.22,Arrogance,madaḥ,Arrogance - अहंकार,False
ITA-1.9.3.3.23,Discontentment,mātsaryam,Discontentment - असूया,False
ITA-1.9.3.3.24,Ego,ahaṅkāraḥ,Ego - अहंकारः,False
ITA-1.9.3.3.25,Self-restraint,damaḥ,Self-restraint - संयमः,False
ITA-1.9.3.3.26,Devotion,bhaktiḥ,Devotion - भक्तिः,False
ITA-1.9.3.3.27,Shyness,lajjā,Shyness - लज्जा,False
ITA-1.9.3.3.28,Humility,vinayaḥ,Humility - विनम्रता,False
ITA-1.9.3.3.29,Discrimination,vivekaḥ,Discrimination - विवेकः,False
ITA-1.9.3.3.30,"Grief, sorrow or misery",śokaḥ,"Grief, sorrow or misery - दुःखः",False
ITA-1.9.3.3.31,Delusion,sammohaḥ,Delusion - मोहः,False
ITA-1.9.3.3.32,Contentment,alobhaḥ,Contentment - संतोषः,False
ITA-1.9.3.3.33,Pride,darpaḥ,Pride - अभिमानः,False
ITA-1.9.3.3.34,Inner cognitive faculty,antaḥkaraṇam,Inner cognitive faculty - मनोबुद्धिः,False
ITA-1.9.3.4.1,Time,kālaḥ,Time - कालः,False
ITA-1.9.3.5.1,Direction,diśaḥ,Direction - दिशाः,False
ITA-1.9.3.6.1,"Unmanifest, without form",amūrtadravyam,"अनिर्वचनीय, without form",False
ITA-1.9.3.6.2,"Substances having form, gross substances","Mūrtadravya, paramāṇuḥ","रूपेण, with form",False
ITA-1.9.3.7.1,"Resultant material, product or effect",kāryadravyam,"परिणाम, product or effect",False
ITA-1.9.3.7.2,Sentient being,cetana-dravyam/ sendriyaḥ,"सत्त्व, sentient being",False
ITA-1.9.3.7.3,"Stationary in form, inner sentience",sthāvaraḥ/antaścetanaḥ,"आशय, stationary in form, inner sentience",False
ITA-1.9.3.7.4,Plant bearing fruits only,vanaspatiḥ,"फलवत्तर, bearing fruits only",False
ITA-1.9.3.7.5,Plant bearing flowers and fruits,vānaspatya,"फलवत्तर, bearing fruits and flowers",False
ITA-1.9.3.7.6,Tree,vṛkṣaḥ,"वृक्ष, tree",False
ITA-1.9.3.7.7,Small plant,vīrudha,"लघुवृक्ष, small plant",False
ITA-1.9.3.7.8,Climber,latā,"आशय, shrub",False
ITA-1.9.3.7.9,Shrub,gulma,"गुल्म, climber",False
ITA-1.9.3.7.10,A plant which withers after fructification,oṣadhī,"ओषधि, plant bearing only flowers",False
ITA-1.9.3.7.11,Mobile life form with internal and external sentience,jaṅgamaḥ/ bahirantaścetanaḥ,"गमन, mobile",False
ITA-1.9.3.7.12,Viviparous animals,jarāyujaḥ,"जीव, animal",False
ITA-1.9.3.7.13,Oviparous animals,aṇḍajaḥ,"पक्षि, animal",False
ITA-1.9.3.7.14,Creatures generated by humidity,svedajaḥ,Jala-janya-jantu,False
ITA-1.9.3.7.15,Telluric creatures,udbhijaḥ,Tellur-janya-jantu,False
ITA-1.9.3.7.16,Insentient material,acetana-dravyam/ nirindriyaḥ,Asat-rupa-dravya,False
ITA-1.9.3.7.17,Mineral substances,khanijaḥ,Prithvi-janya-dravya,False
ITA-1.9.3.7.18,Synthetic substances,kṛtrimam,"Sattva, Guna, Guna-guna",False
ITA-1.9.4.1,"Property, quality or trait",guṇaḥ,"Sattva, Guna, Guna-guna",True
ITA-1.9.4.2,Three primordial psychophysical attributes of nature,"triguṇāḥ, mahāguṇaḥ","Sattva, Guna, Guna-guna",True
ITA-1.9.4.3,"Tranquillity, harmony",sattvam,"Sattva, Guna, Guna-guna",True
ITA-1.9.4.4,"Agitation, activity",rajaḥ,"Rajas, Guna, Guna-guna",False
ITA-1.9.4.5,Inertia,tamaḥ,"Tamas, Guna, Guna-guna",False
ITA-1.9.4.1.1,Objects of special senses,"arthaḥ, vaiśeṣikaguṇāḥ","Gandha, Rasa, Rupa",False
ITA-1.9.4.1.2,Smell,gandhaḥ,"Gandha, Rasa, Rupa",True
ITA-1.9.4.1.3,Taste,rasaḥ,"Gandha, Rasa, Rupa",True
ITA-1.9.4.1.4,"Visual form, colour",rūpaḥ,"Gandha, Rasa, Rupa",True
ITA-1.9.4.1.5,Touch,sparśaḥ,"Gandha, Rasa, Rupa",False
ITA-1.9.4.1.6,Sound,śabdaḥ,Sound,False
ITA-1.9.4.2.1,"Physical attributes, properties or qualities",śārīra-guṇāḥ/gurvādiguṇāḥ,"Physical attributes, properties or qualities",False
ITA-1.9.4.2.2,Heaviness,guruḥ,Heaviness,False
ITA-1.9.4.2.3,Lightness,laghuḥ,Lightness,False
ITA-1.9.4.2.4,"Mildness, slowness",mandaḥ,"Mildness, slowness",False
ITA-1.9.4.2.5,"Sharpness, speed",tīkṣṇaḥ,"Sharpness, speed",False
ITA-1.9.4.2.6,Coldness,śītaḥ,Coldness,False
ITA-1.9.4.2.7,Hotness,uṣṇaḥ,Hotness,False
ITA-1.9.4.2.8,"Unctuousness, oiliness",snigdhaḥ,"Unctuousness, oiliness",False
ITA-1.9.4.2.9,Dryness,rūkṣaḥ,Dryness,False
ITA-1.9.4.2.10,"Smoothness, slipperiness",ślakṣṇaḥ,"Smoothness, slipperiness",False
ITA-1.9.4.2.11,Roughness,kharaḥ,Roughness,False
ITA-1.9.4.2.12,"Density, viscidity",sāndraḥ,"Density, viscidity",False
ITA-1.9.4.2.13,"Fluidity, liquidness",dravaḥ,"Fluidity, liquidness",False
ITA-1.9.4.2.14,"Softness, mildness",mṛduḥ,"Softness, mildness",False
ITA-1.9.4.2.15,Hardness,kaṭhinaḥ,कठिनता (Kharatva),False
ITA-1.9.4.2.16,"Minuteness, penetrating",sūkṣmaḥ,सूक्ष्मता (Suksmatya),False
ITA-1.9.4.2.17,"Grossness, bulkiness",sthūlaḥ,स्थूलता (Sthula),False
ITA-1.9.4.2.18,"Stability, immobility",sthiraḥ,चलता (Chalata),False
ITA-1.9.4.2.19,"Instability, mobility",saraḥ,स्थिरता (Sthiratva),False
ITA-1.9.4.2.20,"Conspicuous-ness, leanness, shininess",viśadaḥ,प्रसन्नता (Prasanna),False
ITA-1.9.4.2.21,"Sliminess, murkiness",picchilaḥ,दुःख (Duhkha),False
ITA-1.9.4.3.1,Qualities of the self,ātmaguṇaḥ,इच्छा (Ichha),False
ITA-1.9.4.3.2,"Intelligence, intellect",buddhiḥ,बुद्धि (Buddhi),False
ITA-1.9.4.3.3,"Pleasure, happiness",sukham,सुख (Sukha),False
ITA-1.9.4.3.4,"Sorrow, pain",duḥkham,दुःख (Duhkha),False
ITA-1.9.4.3.5,"Desire, craving",icchā,धृति (Dhriti),False
ITA-1.9.4.3.6,Aversion,dveṣaḥ,स्मृति (Smriti),False
ITA-1.9.4.3.7,Effort,prayatnaḥ,प्रयत्न (Prayatna),False
ITA-1.9.4.4.1,Qualities beginning with term “paratva”,parādiguṇaḥ,गुण (Guna),False
ITA-1.9.4.4.2,"Relatively superior, nearer the cause",paratvam,सापेक्षिक श्रेष्ठता,False
ITA-1.9.4.4.3,"Relatively inferior, further from the cause",aparatvam,सापेक्षिक अधमता,False
ITA-1.9.4.4.4,"Number, enumeration, tally",saṃkhyā,संख्या,False
ITA-1.9.4.4.5,Combination,saṃyogaḥ,संयोग,False
ITA-1.9.4.4.6,Division,vibhāgaḥ,विभाग,False
ITA-1.9.4.4.7,"Separation or exclusion, particularity",pṛthaktvam,पृथक्करण,False
ITA-1.9.4.4.8,"Quantity, measurement",parimāṇaḥ,मात्रा,False
ITA-1.9.4.4.9,"Logical management, rationale",yuktiḥ,तर्क,False
ITA-1.9.4.4.10,Alteration of properties,saṃskāraḥ,परिवर्तन,False
ITA-1.9.4.4.11,Practice,abhyāsaḥ,क्रिया,False
ITA-1.9.5.1,Action,karma,अस्तित्व,False
ITA-1.9.6.1,Inherence,samavāyaḥ,पूर्व अस्तित्व,False
ITA-1.9.7.1,Nonexistence,abhāvaḥ,पश्चात् अस्तित्व,False
ITA-1.9.7.2,Prior nonexistence,prāgabhāvaḥ,पूर्व अस्तित्व,False
ITA-1.9.7.3,Posterior nonexistence,pradhvaṃsābhāvaḥ,पश्चात् अस्तित्व,False
ITA-1.9.7.4,Absolute nonexistence,atyantābhāvaḥ,Vīrya,False
ITA-1.9.7.5,Mutual nonexistence,anyonyābhāvaḥ,Vīrya,False
ITA-1.10.1,Major triad of Ayurveda texts,"bṛhattrayī (Carakasaṃhita, Suśrutasaṃhita, Aṣṭāṅgasamgraha, Aṣṭāṅgahṛdaya)",Vīrya,False
ITA-1.10.2,Lesser triad of Ayurveda texts,"Laghutrayī (Mādhavanidāna, Śārṅgadharasaṃhita, Bhāvaprakāśa)",Vīrya,False
ITA-1.10.3,Materia medica,nighaṇṭuḥ,Vīrya,False
