ITA_ID,English_Term,Sanskrit_IAST
ITA-1.11.1,Ten items for clinical investigation,"daśavidhaparīkṣyabhāvaḥ (kāraṇa, karaṇa, kāryayoni, kārya, kāryaphala, anubandha, deśaḥ, kālaḥ, pravṛttiḥ, upāyaḥ)"
ITA-1.11.2,Principal agent,kāraṇam
ITA-1.11.3,"Tool, instrument",karaṇam
ITA-1.11.4,Substratum of treatment,kāryayoniḥ
ITA-1.11.5,Treatment protocol,kāryaḥ
ITA-1.11.6,"Immediate outcome, primary endpoint",kāryaphalam
ITA-1.11.7,"Consequence, longterm effect",anubandhaḥ
ITA-1.11.8,Habitat,deśaḥ
ITA-1.11.9,Time,kālaḥ
ITA-1.11.10,Action,pravṛttiḥ
ITA-1.11.11,"Ailment-countering stratagem, means of action",upāyaḥ
ITA-1.11.12,Prompt and appropriate action,pratipattiḥ
ITA-1.11.13,Components of medical practice,pādacatuṣṭayam
ITA-1.11.14,Physician,vaidyaḥ
ITA-1.11.15,Materials for treatment,"dravya, auṣadha"
ITA-1.11.16,"Attendants, paramedics",upasthātā
ITA-1.11.17,Patient,rogi
ITA-2.1.1,Dosha,doṣaḥ
ITA-2.1.2,Three doshas or tridosha,"tridoṣaḥ, śārīrikadoṣa"
ITA-2.1.1.1,"Vata, dosha regulating movement and cognition",vātaḥ
ITA-2.1.1.2,"Vata, dosha that provides the attribute of life to an organism, life force",prāṇaḥ
ITA-2.1.1.3,Ascending vata,udānaḥ
ITA-2.1.1.4,Circulating vata,vyānaḥ
ITA-2.1.1.5,Kindling vata,samānaḥ
ITA-2.1.1.6,Descending vata,apānaḥ
ITA-2.1.1.7,Functions of vata,vāta-karma
ITA-2.1.1.8,Enthusiasm,utsāhaḥ
ITA-2.1.1.9,Expiration,ucchvāsaḥ
ITA-2.1.1.10,"Inspiration, inhalation",niḥśvāsaḥ
ITA-2.1.1.11,"Motion, action, function",ceṣṭā
ITA-2.1.1.12,Gait,gatiḥ
ITA-2.1.1.13,Closure of eyelid,nimeṣaḥ
ITA-2.1.1.14,Opening of eyelid,unmeṣaḥ
ITA-2.1.2.1,"Pitta, dosha regulating body temperature and metabolic activities",pittam
ITA-2.1.2.2,Digesting pitta,pācaka-pittam
ITA-2.1.2.3,Colouring pitta,rañjaka-pittam
ITA-2.1.2.4,Pitta for vision,ālocaka-pittam
ITA-2.1.2.5,Pitta for complexion,bhrājakapittam
ITA-2.1.2.6,Pitta for intellect,sādhakapittam
ITA-2.1.2.7,Functions of pitta,pitta-karma
ITA-2.1.2.8,Lustre,prabhā
ITA-2.1.2.9,Hunger,kṣudhā
ITA-2.1.2.10,Vision,darśanam
ITA-2.1.2.11,Metabolic transformation,paktiḥ
ITA-2.1.2.12,Valour,śauryam
ITA-2.1.2.13,Thirst,"tṛṣṇā, pipāsā"
ITA-2.1.3.1,"Kapha, doṣha responsible for cohesiveness","śleṣmā, kapha"
ITA-2.1.3.2,Supporting kapha,avalambaka-kaphaḥ
ITA-2.1.3.3,Moistening kapha,kledaka-kaphaḥ
ITA-2.1.3.4,Taste-perceiving kapha,bodhaka-kaphaḥ
ITA-2.1.3.5,Nourishing kapha,tarpaka-kaphaḥ
ITA-2.1.3.6,Lubricating kapha,śleṣaka-kaphaḥ
ITA-2.1.3.7,Functions of kapha,kapha-karma
ITA-2.1.3.8,Patience,kṣamā
ITA-2.1.3.9,Firmness,dārḍhyam
ITA-2.2.1,Fundamental structural component,dhātuḥ
ITA-2.2.2,A bodily structure which can be vitiated by aggravated doṣa,dūṣyam
ITA-2.2.3,Holding,dhāraṇam
ITA-2.2.4,"Primary circulating nutrient fluid, primary product of digestion","rasa-dhātuḥ, rasaḥ"
ITA-2.2.5,Blood,"rakta-dhātuḥ, raktam, śoṇitam"
ITA-2.2.6,Giving life,jīvanam
ITA-2.2.7,Nourishment of blood,raktapuṣṭiḥ
ITA-2.2.8,Muscle,"māṃsa-dhātuḥ, māṃsam, peśī"
ITA-2.2.9,Fat,medo-dhātuḥ
ITA-2.2.10,Bone,asthi-dhātuḥ
ITA-2.2.11,Diaphysis,kāṇḍam
ITA-2.2.12,Short bones,aṇvasthi
ITA-2.2.13,"Articulation, joint","parva, asthisandhayaḥ, asthiparva"
ITA-2.2.14,Skeleton,asthipañjaraḥ
ITA-2.2.15,Medullary canal,asthivivaram
ITA-2.2.16,Bone marrow,"majjā-dhātuḥ, asthisāram"
ITA-2.2.17,Replenishment,pūraṇam
ITA-2.2.18,Reproductive fluids; semen,śukradhātuḥ
ITA-2.2.19,Semen,retas
ITA-2.2.20,Seed,bījam
ITA-2.2.21,Male seed,puṃbījam
ITA-2.2.22,Female seed,strībījam
ITA-2.2.23,Virility,vṛṣatā
ITA-2.2.24,"Healthy sperm, ovum",kārmuka-bījam
ITA-2.2.25,Ojas,ojas
ITA-2.2.26,Equilibrium of fundamental structural components,dhātusāmyam
ITA-2.2.27,"Immunity, strength, physical endurance","balam, vyādhikṣamatvam"
ITA-2.2.28,Innate strength,sahaja-balam
ITA-2.2.29,Acquired strength,yuktikṛta-balam
ITA-2.2.30,Seasonal strength,kālaja-balam
ITA-2.3.1,Supportive structural component,upadhātuḥ
ITA-2.3.2,Breast milk,stanyam
ITA-2.3.3,Menstrual blood,"ārtavam, puṣpam, antaḥpuṣpam, śoṇitam, ārtavaśoṇitam, raja, rajasrāvaḥ"
ITA-2.3.4,Tendon,kaṇḍarā
ITA-2.3.5,Intramuscular fat,vasā
ITA-2.4.1,Excretory products,malaḥ
ITA-2.4.2,Waste product,kiṭṭam
ITA-2.4.3,Faeces,"purīṣam, śakṛt, viṭ"
ITA-2.4.4,Urine,mūtram
ITA-2.4.5,Sweat,svedaḥ
ITA-2.4.6,Metabolic waste,dhātumalaḥ
ITA-2.4.7,Ear wax,karṇamalaḥ
ITA-2.4.8,Rheum,akṣimalaḥ
ITA-2.4.9,Mucus of the nose,nāsikāmalaḥ
ITA-2.4.10,Mucus of the oral cavity,āsyamalaḥ
ITA-2.4.11,Sebum,lomakūpamalaḥ
ITA-2.4.12,Smegma,prajananamalaḥ
ITA-2.4.13,Beard and moustache,śmaśru
ITA-2.5.1,"Channel, conduit",srotaḥ
ITA-2.5.2,Apertures of the body,kāyacchidram
ITA-2.5.3,Air passages,anilāyanam
ITA-2.5.4,Internal channel,antarmukhasrotaḥ
ITA-2.5.5,Anal or urethral passage,adhaḥsrotaḥ
ITA-2.5.6,Conduit for vital life,prāṇavahasrotaḥ
ITA-2.5.7,Respiratory tract,ucchvāsamārgaḥ
ITA-2.5.8,"Channel, pathway for fluid circulation","Udakavahasrotaḥ, ambuvahasrotaḥ, ambumārgaḥ"
ITA-2.5.9,Digestive tract,annavahasrotaḥ
ITA-2.5.10,Channel carrying nutrient fluids,rasavahasrotaḥ
ITA-2.5.11,Channel carrying blood,Raktavahasrotaḥ
ITA-2.5.12,Blood vessels,asṛgvahā
ITA-2.5.13,Conduit nourishing muscle,māṃsavahasrotaḥ
ITA-2.5.14,Channel carrying fat,medovahasrotaḥ
ITA-2.5.15,Channel carrying bone,asthivahasrotaḥ
ITA-2.5.16,Channel carrying bone marrow,majjāvahasrotaḥ
ITA-2.5.17,Channel carrying structural components of reproduction,śukravahasrotaḥ
ITA-2.5.18,Female reproductive system,ārtavavaha-srotaḥ
ITA-2.5.19,Urinary tract,mūtravahasrotaḥ
ITA-2.5.20,Channel in which faeces is formed and excreted,purīṣavahasrotaḥ
ITA-2.6.1,"Digestive, metabolic factors",agniḥ
ITA-2.6.2,Metabolic factors of the body,kāyāgniḥ
ITA-2.6.3,Metabolic factors located in the digestive tract,jāṭharāgniḥ
ITA-2.6.4,Digestion at gastrointestinal tract level,avasthāpākaḥ
ITA-2.6.5,"Transformation at the level of absorption, assimilation",niṣṭhāpākaḥ
ITA-2.6.6,Metabolic factors located in structural components,"dhātvagniḥ [rasāgni, raktāgni, māṃsāgni, medo-agni, asthyagni, majjādhātvagniḥ, śukradhātvagniḥ]"
ITA-2.6.7,Transforming factors acting at the level of the basic elements,bhūtāgniḥ
ITA-2.6.8,"Normal state of digestive, metabolic factors",samāgniḥ
ITA-2.6.9,"Intense state of digestive, metabolic factors",tīkṣṇāgniḥ
ITA-2.6.10,"Irregular state of digestive, metabolic factors",viṣamāgniḥ
ITA-2.6.11,"Depressed or weak state of digestive, metabolic factors",mandāgniḥ
ITA-2.6.12,Metabolic factors located in primary circulating nutrient fluid,rasadhātvagniḥ
ITA-2.6.13,Metabolic factors located in blood,raktadhātvagniḥ
ITA-2.6.14,Metabolic factors located in muscle,māṃsadhātvagniḥ
ITA-2.6.15,Metabolic factors located in fat,medodhātvagniḥ
