ITA_ID,English_Term,Sanskrit_IAST
ITA-1.6.24,"Aim, objective",Prayojanam
ITA-1.6.25,Contextual repetition,prasangah
ITA-1.6.26,"Union, compounding, a structured sentence (syntax)",yogah
ITA-1.6.27,Supply of ellipsis,vakyasheshah
ITA-1.6.28,Optional instructions,vikalpanam
ITA-1.6.29,Sequential narration or enumeration,vidhanam
ITA-1.6.30,Implying the opposite meaning,viparyayah
ITA-1.6.31,Lucid explanation,vyakhyanam
ITA-1.6.32,Inconclusive statement,samshayah
ITA-1.6.33,Enlisting one by one,samuccayah
ITA-1.6.34,Statement indicating a source,sambhavah
ITA-1.6.35,Technical terminology limited to a school of thought,svasanjna
ITA-1.6.36,Extended reasoning,hetvarthah
ITA-1.6.37,Source of meaning,arthashrayah
ITA-1.6.38,"Concept, hypothesis",kalpana
ITA-1.6.39,Inclinations,tacchilyam
ITA-1.6.40,"Explanation, commentary",vyakhya
ITA-1.7.1,Theory,siddhantah
ITA-1.7.2,Doctrine,vadah
ITA-1.7.3,Rules for debate,vadamargah
ITA-1.7.4,Unquestionable statement,ananuyojyam
ITA-1.7.5,Question,anuyogah
ITA-1.7.6,Questionable statement,anuyojyam
ITA-1.7.7,Unquestioning acceptance,abhyanujna
ITA-1.7.8,Implied meaning,arthapraptih
ITA-1.7.9,Varying meaning or shifting the topic,arthantaram
ITA-1.7.10,Rejoinder,uttaram
ITA-1.7.11,Application of proof,upanayah
ITA-1.7.12,Abusive argument,upalambhah
ITA-1.7.13,Perverted or deceitful argument,chalah
ITA-1.7.14,Defensive argument,jalpah
ITA-1.7.15,Inquisitiveness,jijnasa
ITA-1.7.16,Discussion amongst peers,tadvidyasambhasha
ITA-1.7.17,"Deduction, conclusion",nigamanam
ITA-1.7.18,Point of defeat,nigrahasthanam
ITA-1.7.19,Amendment of a faulty statement,pariharah
ITA-1.7.20,"Proposition, proposed hypothesis",pratijna
ITA-1.7.21,Abandoning the hypothesis,pratijnahanih
ITA-1.7.22,Proving the alternate hypothesis,pratishthapana
ITA-1.7.23,Counter-question,pratyanuyogah
ITA-1.7.24,"Syntax error, defective sentence",vakyadoshah
ITA-1.7.25,Correct statement,vakyaprashamsa
ITA-1.7.26,"Hostile debate, offensive argument",vitanda
ITA-1.7.27,Decision,vyavasayah
ITA-1.7.28,Proving the proposed hypothesis,sthapana
ITA-1.7.29,Proposing the wrong reason,hetvantaram
ITA-1.7.30,Discussion and debate amongst peers,"tadvidyasambhasha,"
ITA-1.7.31,Productive debate,sandhayasambhasha
ITA-1.7.32,"Unproductive, hostile debate",vigrihyasambhasha
ITA-1.8.1,"Investigation, examination",pariksha
ITA-1.8.2,Knowledge,prama
ITA-1.8.1.1,"Direct perception, observation",pratyaksham
ITA-1.8.1.2,Contact,sannikarshah
ITA-1.8.1.3,Indeterminate perception,nirvikalpakam
ITA-1.8.1.4,Determinate perception,savikalpakam
ITA-1.8.2.1,Inference based on observations,anumanam
ITA-1.8.2.2,Inferential knowledge,anumitih
ITA-1.8.2.3,Fallacious reason,ahetuh
ITA-1.8.2.4,Cause or variable,hetu
ITA-1.8.2.5,"Cause or variable, independent variable",sadhetu
ITA-1.8.2.6,Independent variable,sadhana
ITA-1.8.2.7,Dependent variable,sadhya
ITA-1.8.2.8,False positive or false negative,hetvabhasah
ITA-1.8.2.9,"Invariable concomitance, sensitivity",avinabhavasambandhah
ITA-1.8.2.10,"Non-deviation, specificity",avyabhicaritva
ITA-1.8.2.11,Inseparable coexistence,ayutasiddhatvam
ITA-1.8.2.12,Chance effect,yadricchasiddhih
ITA-1.8.2.13,Real effect,pratiniyamikisiddhih
ITA-1.8.2.14,Conditional effect,aupadhika
ITA-1.8.2.15,Negative correlation,kevalavyatirekianumanam
ITA-1.8.2.16,Positive correlation,kevalanvayi-anumanam
ITA-1.8.2.17,Speculative reasoning or debate,tarkah
ITA-1.8.2.18,Inference for self,svarthanumanam
ITA-1.8.2.19,Inference for others,pararthanumanam
ITA-1.8.2.20,Improper reason appearing identical to the subject,prakaranasamah
ITA-1.8.2.21,Inference based on analogy,paramarshah
ITA-1.8.2.22,Subject under investigation,pakshah
ITA-1.8.2.23,Context in which a cause-and-effect relationship is affirmed,sapakshah
ITA-1.8.2.24,Context in which a cause-and-effect relationship is negated,vipakshah
ITA-1.8.2.25,Invariable concomitance,vyaptih
ITA-1.8.2.26,Negative invariable concomitance,vyatirekavyaptih
ITA-1.8.2.27,Five-stepped syllogism,pancavayava-vakyam
ITA-1.8.2.28,Categorical examples,udaharanam
ITA-1.8.2.29,Causative agent,karanam
ITA-1.8.2.30,Inherent cause,samavayikaranam
ITA-1.8.2.31,Non-inherent cause,asamavayi-karanam
ITA-1.8.2.32,Efficient cause,nimitta-karanam
ITA-1.8.3.1,"Codified knowledge, expert opinion",aptopadeshah
ITA-1.8.3.2,"Reasoning, understanding causation",yuktih
ITA-1.8.3.3,Analogy,upamanah
ITA-1.8.3.4,"Object of knowledge, the object of investigation",prameyah
ITA-1.8.3.5,Object denoted by a word,padarthah
ITA-1.9.1,Six ontological categories of an object,shatpadarthah
ITA-1.9.1.1,"Generality, shared feature",samanyam
ITA-1.9.1.2,Similarity at the level of substance,dravya-samanyam
ITA-1.9.1.3,Similarity at the level of qualities or properties,guna-samanyam
ITA-1.9.1.4,Similarity at the level of action,karma-samanyam
ITA-1.9.2.1,"Particularity, distinct feature",vishesham
ITA-1.9.2.2,Dissimilarity at the level of substance,dravya-visheshah
ITA-1.9.2.3,Dissimilarity at the level of quality,guna-visheshah
ITA-1.9.2.4,Dissimilarity at the level of action,karma-visheshah
ITA-1.9.3.1,"Substance, entity",dravyam
ITA-1.9.3.1.1,Causal material,karanadravyam
ITA-1.9.3.1.2,Five elements,pancamahabhuta
ITA-1.9.3.1.3,Space element,akashah
ITA-1.9.3.1.4,Air element,vayuh
ITA-1.9.3.1.5,Fire element,Tejah
ITA-1.9.3.1.6,Water element,jalam
ITA-1.9.3.1.7,Earth element,prithvi
ITA-1.9.3.1.8,"Rudimentary, undifferentiated element",tanmatra
ITA-1.9.3.2.1,Self,atma
ITA-1.9.3.2.2,Self-embodied being,bhutatma
ITA-1.9.3.2.3,"Living being, individual self",jivah
ITA-1.9.3.2.4,The knower,jnah
ITA-1.9.3.2.5,"The doer, the executing agent",karta
ITA-1.9.3.2.6,Witness of all actions,sakshi
ITA-1.9.3.2.7,Relating to self,adhyatmika
ITA-1.9.3.2.8,"Subtle body, causal body",ativahika-shariram/ sukshmashariram/ lingashariram
ITA-1.9.3.2.9,"Person, living being",purushah
ITA-1.9.3.2.10,Complete self-control,vashi
ITA-1.9.3.2.11,Person as the object of treatment,"cikitsya-purushah, shaddhatupurusha"
ITA-1.9.3.2.12,Embodied being composed of 24 elements,caturvimshati-purushah
ITA-1.9.3.2.13,"Invisible, unforeseen",adrishtam
ITA-1.9.3.2.14,Inactive,nishkriyah
ITA-1.9.3.2.15,Omnipresent,vibhu
ITA-1.9.3.2.16,Without beginning,anadi
ITA-1.9.3.2.17,Consciousness,cetana/ caitanyam
ITA-1.9.3.2.18,Eternal,nityam
ITA-1.9.3.2.19,Formless,nirvikaram
ITA-1.9.3.2.20,Irresistible will,prakamyam
ITA-1.9.3.2.21,Immutable,avyayah
ITA-1.9.3.2.22,"Observer, witness of all actions",drashta
ITA-1.9.3.2.23,Independent,svatantra
ITA-1.9.3.2.24,Introverted consciousness,antashcetana
ITA-1.9.3.2.25,"Salvation, liberation",mokshah
ITA-1.9.3.2.26,Perception of truth,satyabuddhih
ITA-1.9.3.2.27,Liberation in the embodied state,jivanmuktih
ITA-1.9.3.2.28,Person showing signs of impending death,pushpitah
ITA-1.9.3.2.29,After death,pretya
ITA-1.9.3.3.1,"Mind, psyche","manah, cetah"
ITA-1.9.3.3.2,Characteristics of mind,manogunah/svarupam
ITA-1.9.3.3.3,Atomicity,"anutva, paramanu"
ITA-1.9.3.3.4,Singularity,ekatva
ITA-1.9.3.3.5,Trans-sense migration,indriyantara-sancarah
ITA-1.9.3.3.6,"Transient, perishable",anityam
ITA-1.9.3.3.7,Objects of the mind,manoarthah
ITA-1.9.3.3.8,Decision-making,cintanam
ITA-1.9.3.3.9,Reasoning,vicarah
ITA-1.9.3.3.10,Conjecture,uhah
ITA-1.9.3.3.11,Contemplation,dhyanam
ITA-1.9.3.3.12,Evaluation,sankalpah
ITA-1.9.3.3.13,Psychological or mental attributes,manasika-bhavah
ITA-1.9.3.3.14,Intellect,dhih
ITA-1.9.3.3.15,Ability to control impulses,dhritih
ITA-1.9.3.3.16,"Memory, recollection",smritih
ITA-1.9.3.3.17,Six internal enemies,shadripuh
ITA-1.9.3.3.18,"Desire, lust",kamah
ITA-1.9.3.3.19,Anger,krodhah
ITA-1.9.3.3.20,Greed,lobhah
ITA-1.9.3.3.21,Delusion,mohah
ITA-1.9.3.3.22,Arrogance,madah
ITA-1.9.3.3.23,Discontentment,matsaryam
ITA-1.9.3.3.24,Ego,ahankarah
ITA-1.9.3.3.25,Self-restraint,damah
ITA-1.9.3.3.26,Devotion,bhaktih
ITA-1.9.3.3.27,Shyness,lajja
ITA-1.9.3.3.28,Humility,vinayah
ITA-1.9.3.3.29,Discrimination,vivekah
ITA-1.9.3.3.30,"Grief, sorrow or misery",shokah
ITA-1.9.3.3.31,Delusion,sammohah
ITA-1.9.3.3.32,Contentment,alobhah
ITA-1.9.3.3.33,Pride,darpah
ITA-1.9.3.3.34,Inner cognitive faculty,antahkaranam
ITA-1.9.3.4.1,Time,kalah
ITA-1.9.3.5.1,Direction,dishah
ITA-1.9.3.6.1,"Unmanifest, without form",amurtadravyam
ITA-1.9.3.6.2,"Substances having form, gross substances","Murtadravya, paramanuh"
ITA-1.9.3.7.1,"Resultant material, product or effect",karyadravyam
ITA-1.9.3.7.2,Sentient being,cetana-dravyam/ sendriyah
ITA-1.9.3.7.3,"Stationary in form, inner sentience",sthavarah/antashcetanah
ITA-1.9.3.7.4,Plant bearing fruits only,vanaspatih
ITA-1.9.3.7.5,Plant bearing flowers and fruits,vanaspatya
ITA-1.9.3.7.6,Tree,vrikshah
ITA-1.9.3.7.7,Small plant,virudha
ITA-1.9.3.7.8,Climber,lata
ITA-1.9.3.7.9,Shrub,gulma
ITA-1.9.3.7.10,A plant which withers after fructification,oshadhi
ITA-1.9.3.7.11,Mobile life form with internal and external sentience,jangamah/ bahirantashcetanah
ITA-1.9.3.7.12,Viviparous animals,jarayujah
ITA-1.9.3.7.13,Oviparous animals,andajah
ITA-1.9.3.7.14,Creatures generated by humidity,svedajah
ITA-1.9.3.7.15,Telluric creatures,udbhijah
ITA-1.9.3.7.16,Insentient material,acetana-dravyam/ nirindriyah
ITA-1.9.3.7.17,Mineral substances,khanijah
ITA-1.9.3.7.18,Synthetic substances,kritrimam
ITA-1.9.4.1,"Property, quality or trait",gunah
ITA-1.9.4.2,Three primordial psychophysical attributes of nature,"trigunah, mahagunah"
ITA-1.9.4.3,"Tranquillity, harmony",sattvam
ITA-1.9.4.4,"Agitation, activity",rajah
ITA-1.9.4.5,Inertia,tamah
ITA-1.9.4.1.1,Objects of special senses,"arthah, vaisheshikagunah"
ITA-1.9.4.1.2,Smell,gandhah
ITA-1.9.4.1.3,Taste,rasah
ITA-1.9.4.1.4,"Visual form, colour",rupah
ITA-1.9.4.1.5,Touch,sparshah
ITA-1.9.4.1.6,Sound,shabdah
ITA-1.9.4.2.1,"Physical attributes, properties or qualities",sharira-gunah/gurvadigunah
ITA-1.9.4.2.2,Heaviness,guruh
ITA-1.9.4.2.3,Lightness,laghuh
ITA-1.9.4.2.4,"Mildness, slowness",mandah
ITA-1.9.4.2.5,"Sharpness, speed",tikshnah
ITA-1.9.4.2.6,Coldness,shitah
ITA-1.9.4.2.7,Hotness,ushnah
ITA-1.9.4.2.8,"Unctuousness, oiliness",snigdhah
ITA-1.9.4.2.9,Dryness,rukshah
ITA-1.9.4.2.10,"Smoothness, slipperiness",shlakshnah
ITA-1.9.4.2.11,Roughness,kharah
ITA-1.9.4.2.12,"Density, viscidity",sandrah
ITA-1.9.4.2.13,"Fluidity, liquidness",dravah
ITA-1.9.4.2.14,"Softness, mildness",mriduh
ITA-1.9.4.2.15,Hardness,kathinah
ITA-1.9.4.2.16,"Minuteness, penetrating",sukshmah
ITA-1.9.4.2.17,"Grossness, bulkiness",sthulah
ITA-1.9.4.2.18,"Stability, immobility",sthirah
ITA-1.9.4.2.19,"Instability, mobility",sarah
ITA-1.9.4.2.20,"Conspicuous-ness, leanness, shininess",vishadah
ITA-1.9.4.2.21,"Sliminess, murkiness",picchilah
ITA-1.9.4.3.1,Qualities of the self,atmagunah
ITA-1.9.4.3.2,"Intelligence, intellect",buddhih
ITA-1.9.4.3.3,"Pleasure, happiness",sukham
ITA-1.9.4.3.4,"Sorrow, pain",duhkham
ITA-1.9.4.3.5,"Desire, craving",iccha
ITA-1.9.4.3.6,Aversion,dveshah
ITA-1.9.4.3.7,Effort,prayatnah
ITA-1.9.4.4.1,"Qualities beginning with term ""paratva""",paradigunah
ITA-1.9.4.4.2,"Relatively superior, nearer the cause",paratvam
ITA-1.9.4.4.3,"Relatively inferior, further from the cause",aparatvam
ITA-1.9.4.4.4,"Number, enumeration, tally",samkhya
ITA-1.9.4.4.5,Combination,samyogah
ITA-1.9.4.4.6,Division,vibhagah
ITA-1.9.4.4.7,"Separation or exclusion, particularity",prithaktvam
ITA-1.9.4.4.8,"Quantity, measurement",parimanah
ITA-1.9.4.4.9,"Logical management, rationale",yuktih
ITA-1.9.4.4.10,Alteration of properties,samskarah
ITA-1.9.4.4.11,Practice,abhyasah
ITA-1.9.5.1,Action,karma
ITA-1.9.6.1,Inherence,samavayah
ITA-1.9.7.1,Nonexistence,abhavah
ITA-1.9.7.2,Prior nonexistence,pragabhavah
ITA-1.9.7.3,Posterior nonexistence,pradhvamsabhavah
ITA-1.9.7.4,Absolute nonexistence,atyantabhavah
ITA-1.9.7.5,Mutual nonexistence,anyonyabhavah
ITA-1.10.1,Major triad of Ayurveda texts,"brihattrayi (Carakasamhita, Sushrutasamhita, Ashtangasamgraha, Ashtangahridaya)"
ITA-1.10.2,Lesser triad of Ayurveda texts,"Laghutrayi (Madhavanidana, Sharngadharasamhita, Bhavaprakasha)"
ITA-1.10.3,Materia medica,nighantuh
ITA-1.11.1,Ten items for clinical investigation,"dashavidhaparikshyabhavah (karana, karana, karyayoni, karya, karyaphala, anubandha, deshah, kalah, pravrittih, upayah)"
ITA-1.11.2,Principal agent,karanam
ITA-1.11.3,"Tool, instrument",karanam
ITA-1.11.4,Substratum of treatment,karyayonih
ITA-1.11.5,Treatment protocol,karyah
ITA-1.11.6,"Immediate outcome, primary endpoint",karyaphalam
ITA-1.11.7,"Consequence, longterm effect",anubandhah
ITA-1.11.8,Habitat,deshah
ITA-1.11.9,Time,kalah
ITA-1.11.10,Action,pravrittih
ITA-1.11.11,"Ailment-countering stratagem, means of action",upayah
ITA-1.11.12,Prompt and appropriate action,pratipattih
ITA-1.11.13,Components of medical practice,padacatushtayam
ITA-1.11.14,Physician,vaidyah
ITA-1.11.15,Materials for treatment,"dravya, aushadha"
ITA-1.11.16,"Attendants, paramedics",upasthata
ITA-1.11.17,Patient,rogi
ITA-2.1.1,Dosha,doshah
ITA-2.1.2,Three doshas or tridosha,"tridoshah, sharirikadosha"
ITA-2.1.1.1,"Vata, dosha regulating movement and cognition",vatah
ITA-2.1.1.2,"Vata, dosha that provides the attribute of life to an organism, life force",pranah
ITA-2.1.1.3,Ascending vata,udanah
ITA-2.1.1.4,Circulating vata,vyanah
ITA-2.1.1.5,Kindling vata,samanah
ITA-2.1.1.6,Descending vata,apanah
ITA-2.1.1.7,Functions of vata,vata-karma
ITA-2.1.1.8,Enthusiasm,utsahah
ITA-2.1.1.9,Expiration,ucchvasah
ITA-2.1.1.10,"Inspiration, inhalation",nihshvasah
ITA-2.1.1.11,"Motion, action, function",ceshta
ITA-2.1.1.12,Gait,gatih
ITA-2.1.1.13,Closure of eyelid,nimeshah
ITA-2.1.1.14,Opening of eyelid,unmeshah
ITA-2.1.2.1,"Pitta, dosha regulating body temperature and metabolic activities",pittam
ITA-2.1.2.2,Digesting pitta,pacaka-pittam
ITA-2.1.2.3,Colouring pitta,ranjaka-pittam
ITA-2.1.2.4,Pitta for vision,alocaka-pittam
ITA-2.1.2.5,Pitta for complexion,bhrajakapittam
ITA-2.1.2.6,Pitta for intellect,sadhakapittam
ITA-2.1.2.7,Functions of pitta,pitta-karma
ITA-2.1.2.8,Lustre,prabha
ITA-2.1.2.9,Hunger,kshudha
ITA-2.1.2.10,Vision,darshanam
ITA-2.1.2.11,Metabolic transformation,paktih
ITA-2.1.2.12,Valour,shauryam
ITA-2.1.2.13,Thirst,"trishna, pipasa"
ITA-2.1.3.1,"Kapha, doshha responsible for cohesiveness","shleshma, kapha"
ITA-2.1.3.2,Supporting kapha,avalambaka-kaphah
ITA-2.1.3.3,Moistening kapha,kledaka-kaphah
ITA-2.1.3.4,Taste-perceiving kapha,bodhaka-kaphah
ITA-2.1.3.5,Nourishing kapha,tarpaka-kaphah
ITA-2.1.3.6,Lubricating kapha,shleshaka-kaphah
ITA-2.1.3.7,Functions of kapha,kapha-karma
ITA-2.1.3.8,Patience,kshama
ITA-2.1.3.9,Firmness,dardhyam
ITA-2.2.1,Fundamental structural component,dhatuh
ITA-2.2.2,A bodily structure which can be vitiated by aggravated dosha,dushyam
ITA-2.2.3,Holding,dharanam
ITA-2.2.4,"Primary circulating nutrient fluid, primary product of digestion","rasa-dhatuh, rasah"
ITA-2.2.5,Blood,"rakta-dhatuh, raktam, shonitam"
ITA-2.2.6,Giving life,jivanam
ITA-2.2.7,Nourishment of blood,raktapushtih
ITA-2.2.8,Muscle,"mamsa-dhatuh, mamsam, peshi"
ITA-2.2.9,Fat,medo-dhatuh
ITA-2.2.10,Bone,asthi-dhatuh
ITA-2.2.11,Diaphysis,kandam
ITA-2.2.12,Short bones,anvasthi
ITA-2.2.13,"Articulation, joint","parva, asthisandhayah, asthiparva"
ITA-2.2.14,Skeleton,asthipanjarah
ITA-2.2.15,Medullary canal,asthivivaram
ITA-2.2.16,Bone marrow,"majja-dhatuh, asthisaram"
ITA-2.2.17,Replenishment,puranam
ITA-2.2.18,Reproductive fluids; semen,shukradhatuh
ITA-2.2.19,Semen,retas
ITA-2.2.20,Seed,bijam
ITA-2.2.21,Male seed,pumbijam
ITA-2.2.22,Female seed,stribijam
ITA-2.2.23,Virility,vrishata
ITA-2.2.24,"Healthy sperm, ovum",karmuka-bijam
ITA-2.2.25,Ojas,ojas
ITA-2.2.26,Equilibrium of fundamental structural components,dhatusamyam
ITA-2.2.27,"Immunity, strength, physical endurance","balam, vyadhikshamatvam"
ITA-2.2.28,Innate strength,sahaja-balam
ITA-2.2.29,Acquired strength,yuktikrita-balam
ITA-2.2.30,Seasonal strength,kalaja-balam
ITA-2.3.1,Supportive structural component,upadhatuh
ITA-2.3.2,Breast milk,stanyam
ITA-2.3.3,Menstrual blood,"artavam, pushpam, antahpushpam, shonitam, artavashonitam, raja, rajasravah"
ITA-2.3.4,Tendon,kandara
ITA-2.3.5,Intramuscular fat,vasa
ITA-2.4.1,Excretory products,malah
ITA-2.4.2,Waste product,kittam
ITA-2.4.3,Faeces,"purisham, shakrit, vit"
ITA-2.4.4,Urine,mutram
ITA-2.4.5,Sweat,svedah
ITA-2.4.6,Metabolic waste,dhatumalah
ITA-2.4.7,Ear wax,karnamalah
ITA-2.4.8,Rheum,akshimalah
ITA-2.4.9,Mucus of the nose,nasikamalah
ITA-2.4.10,Mucus of the oral cavity,asyamalah
ITA-2.4.11,Sebum,lomakupamalah
ITA-2.4.12,Smegma,prajananamalah
ITA-2.4.13,Beard and moustache,shmashru
ITA-2.5.1,"Channel, conduit",srotah
ITA-2.5.2,Apertures of the body,kayacchidram
ITA-2.5.3,Air passages,anilayanam
ITA-2.5.4,Internal channel,antarmukhasrotah
ITA-2.5.5,Anal or urethral passage,adhahsrotah
ITA-2.5.6,Conduit for vital life,pranavahasrotah
ITA-2.5.7,Respiratory tract,ucchvasamargah
ITA-2.5.8,"Channel, pathway for fluid circulation","Udakavahasrotah, ambuvahasrotah, ambumargah"
ITA-2.5.9,Digestive tract,annavahasrotah
ITA-2.5.10,Channel carrying nutrient fluids,rasavahasrotah
ITA-2.5.11,Channel carrying blood,Raktavahasrotah
ITA-2.5.12,Blood vessels,asrigvaha
ITA-2.5.13,Conduit nourishing muscle,mamsavahasrotah
ITA-2.5.14,Channel carrying fat,medovahasrotah
ITA-2.5.15,Channel carrying bone,asthivahasrotah
ITA-2.5.16,Channel carrying bone marrow,majjavahasrotah
ITA-2.5.17,Channel carrying structural components of reproduction,shukravahasrotah
ITA-2.5.18,Female reproductive system,artavavaha-srotah
ITA-2.5.19,Urinary tract,mutravahasrotah
ITA-2.5.20,Channel in which faeces is formed and excreted,purishavahasrotah
ITA-2.6.1,"Digestive, metabolic factors",agnih
ITA-2.6.2,Metabolic factors of the body,kayagnih
ITA-2.6.3,Metabolic factors located in the digestive tract,jatharagnih
ITA-2.6.4,Digestion at gastrointestinal tract level,avasthapakah
ITA-2.6.5,"Transformation at the level of absorption, assimilation",nishthapakah
ITA-2.6.6,Metabolic factors located in structural components,"dhatvagnih [rasagni, raktagni, mamsagni, medo-agni, asthyagni, majjadhatvagnih, shukradhatvagnih]"
ITA-2.6.7,Transforming factors acting at the level of the basic elements,bhutagnih
ITA-2.6.8,"Normal state of digestive, metabolic factors",samagnih
ITA-2.6.9,"Intense state of digestive, metabolic factors",tikshnagnih
ITA-2.6.10,"Irregular state of digestive, metabolic factors",vishamagnih
ITA-2.6.11,"Depressed or weak state of digestive, metabolic factors",mandagnih
ITA-2.6.12,Metabolic factors located in primary circulating nutrient fluid,rasadhatvagnih
ITA-2.6.13,Metabolic factors located in blood,raktadhatvagnih
ITA-2.6.14,Metabolic factors located in muscle,mamsadhatvagnih
ITA-2.6.15,Metabolic factors located in fat,medodhatvagnih
ITA-2.6.16,Metabolic factors located in bone,asthidhatvagnih
ITA-2.6.17,Metabolic factors located in bone marrow,majjadhatvagnih
ITA-2.6.18,Metabolic factors located in semen,shukradhatvagnih
ITA-2.6.19,Theory of sequential transformation,kshiradadhinyayah
ITA-2.6.20,Theory of serial distribution,kedarikulyanyayah
ITA-2.6.21,Theory of selective uptake,khalekapotanyayah
ITA-2.6.22,Chyle,ahararasah
ITA-2.6.23,Sweet predominant stage of digestion,madhuraavasthapakah
ITA-2.6.24,Sour predominant stage of digestion,amla avasthapakah
ITA-2.6.25,Pungent predominant stage of digestion,katuavasthapakah
ITA-2.6.26,"Digestion, metabolism, biotransformation",pakah
ITA-2.6.27,Digestive power,jaranashaktih
ITA-2.6.28,"Ingestive power, food intake capacity",abhyavaharana-shaktih
ITA-2.6.29,Three divisions of stomach capacity,trividha-kukshih
ITA-2.6.30,Digestion,pacanam
ITA-2.6.31,Nutrient part of food,prasadah
ITA-2.6.32,Initial phase of digestion,avasthapakah
ITA-2.6.33,Final phase of digestion,nishthapakah
ITA-2.6.34,Internal-external division,antarbahirvibhagah
ITA-2.6.35,Superior-inferior division,uttaradhara-vibhagah
ITA-2.6.36,Anterior-posterior division,purvapashcima-vibhagah
ITA-2.6.37,Bowel habit,koshthah
ITA-2.6.38,Normal bowel habit,madhyama-koshthah
ITA-2.6.39,Soft bowel habit,mridukoshthah
ITA-2.7.1,Urges,vegah
ITA-2.7.2,Suppressible urges,dharaniya-vegah
ITA-2.8.1,An individual's inherent nature,prakritih
ITA-2.8.2,Body constitution with a predominance of dosha,doshaprakriti
ITA-2.8.3,Body constitution with a predominance of vata,vataprakritih
ITA-2.8.4,Body constitution with a predominance of pitta,pittaprakritih
ITA-2.8.5,Body constitution with a predominance of kapha,kaphaprakritih
ITA-2.8.6,Body constitution with a predominance of vata and pitta,vatapittaprakritih
ITA-2.8.7,Body constitution with a predominance of pitta and kapha,pittakaphaprakritih
ITA-2.8.8,Body constitution with a predominance of kapha and vata,kaphavataprakritih
ITA-2.8.9,Body constitution in terms of the three dosha,tridoshajaprakritih
ITA-2.8.10,Specific mental and physical personality type,"kayah, manasaprakriti"
ITA-2.8.11,"Person with tranquil, harmonious temperament",sattvakayah
ITA-2.8.12,"Person with pure, truthful temperament",brahmakayah
ITA-2.8.13,"Person with prosperous, leading temperament",mahendrakayah
ITA-2.8.14,"Person with brave, patient temperament",varunakayah
ITA-2.8.15,"Person with wealthy, luxurious temperament",kauberakayah
ITA-2.8.16,"Person with artistic, celebrating temperament",gandharvakayah
ITA-2.8.17,"Person with judicious, prompt temperament",yamyakayah
ITA-2.8.18,"Person with scholarly, religious temperament",rishikayah
